,ID,Last,First,Player debut,Mgr debut,Coach debut,Ump debut,start_date,full_name
0,aardd001,Aardsma,David,04/06/2004,,,,2004-04-06,David Aardsma
4,abada001,Abad,Andy,09/10/2001,,,,2001-09-10,Andy Abad
5,abadf001,Abad,Fernando,07/28/2010,,,,2010-07-28,Fernando Abad
13,abboj002,Abbott,Jeff,06/10/1997,,,,1997-06-10,Jeff Abbott
14,abboj001,Abbott,Jim,04/08/1989,,,,1989-04-08,Jim Abbott
15,abbok002,Abbott,Kurt,09/07/1993,,,,1993-09-07,Kurt Abbott
16,abbok001,Abbott,Kyle,09/10/1991,,,,1991-09-10,Kyle Abbott
18,abbop001,Abbott,Paul,08/21/1990,,,,1990-08-21,Paul Abbott
22,aberr001,Abercrombie,Reggie,04/04/2006,,,,2006-04-04,Reggie Abercrombie
24,aberb001,Abernathy,Brent,06/25/2001,,,,2001-06-25,Brent Abernathy
30,abnes001,Abner,Shawn,09/08/1987,,,,1987-09-08,Shawn Abner
33,abrej001,Abrego,Johnny,09/04/1985,,,,1985-09-04,Johnny Abrego
34,abreb001,Abreu,Bobby,09/01/1996,,,,1996-09-01,Bobby Abreu
36,abrej003,Abreu,Jose,03/31/2014,,,,2014-03-31,Jose Abreu
37,abrej002,Abreu,Juan,08/29/2011,,,,2011-08-29,Juan Abreu
38,abret001,Abreu,Tony,05/22/2007,,,,2007-05-22,Tony Abreu
39,abrew001,Abreu,Winston,08/06/2006,,,,2006-08-06,Winston Abreu
41,accaj001,Accardo,Jeremy,05/04/2005,,,,2005-05-04,Jeremy Accardo
42,acevj002,Acevedo,Jose,06/19/2001,,,,2001-06-19,Jose Acevedo
43,acevj001,Acevedo,Juan,04/30/1995,,,,1995-04-30,Juan Acevedo
44,aceva001,Aceves,Alfredo,08/31/2008,,,,2008-08-31,Alfredo Aceves
45,achta001,Achter,A.J.,09/03/2014,,,,2014-09-03,A.J. Achter
46,ackej001,Acker,Jim,04/07/1983,,,,1983-04-07,Jim Acker
48,ackld001,Ackley,Dustin,06/17/2011,,,,2011-06-17,Dustin Ackley
53,acosm001,Acosta,Manny,08/12/2007,,,,2007-08-12,Manny Acosta
56,acrem001,Acre,Mark,05/13/1994,,,,1994-05-13,Mark Acre
62,adamc001,Adames,Cristhian,07/29/2014,,,,2014-07-29,Cristhian Adames
64,adama001,Adams,Austin,07/12/2014,,,,2014-07-12,Austin Adams
65,adama002,Adams,Austin,07/15/2017,,,,2017-07-15,Austin Adams
74,adamd001,Adams,David,05/15/2013,,,,2013-05-15,David Adams
85,adaml001,Adams,Lane,09/01/2014,,,,2014-09-01,Lane Adams
86,adamm002,Adams,Matt,05/20/2012,,,,2012-05-20,Matt Adams
87,adamm001,Adams,Mike,05/18/2004,,,,2004-05-18,Mike Adams
91,adamr001,Adams,Ricky,09/15/1982,,,,1982-09-15,Ricky Adams
92,adamr002,Adams,Russ,09/03/2004,,,,2004-09-03,Russ Adams
93,adamr003,Adams,Ryan,05/20/2011,,,,2011-05-20,Ryan Adams
96,adamt001,Adams,Terry,08/10/1995,,,,1995-08-10,Terry Adams
97,adamw001,Adams,Willie,06/11/1996,,,,1996-06-11,Willie Adams
99,adamj001,Adamson,Joel,04/10/1996,,,,1996-04-10,Joel Adamson
102,adcon001,Adcock,Nathan,03/31/2011,,,,2011-03-31,Nathan Adcock
105,adduj002,Adduci,Jim,09/01/2013,,,,2013-09-01,Jim Adduci
106,adduj001,Adduci,Jim,09/12/1983,,,,1983-09-12,Jim Adduci
108,adenn001,Adenhart,Nick,05/01/2008,,,,2008-05-01,Nick Adenhart
114,adkij001,Adkins,Jon,08/14/2003,,,,2003-08-14,Jon Adkins
115,adkis001,Adkins,Steve,09/12/1990,,,,1990-09-12,Steve Adkins
116,adlet001,Adleman,Tim,05/01/2016,,,,2016-05-01,Tim Adleman
